gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cpm_total_poly_1,cpm_total_poly_2,cpm_total_poly_3,cpm_total_poly_4,cpm_LNCaP_TCT1_80S_S34,cpm_LNCaP_TCT2_80S_S38,cpm_LNCaP_TCT3_80S_S42,cpm_LNCaP_TCT4_80S_S46,raw_total_poly_1,raw_total_poly_2,raw_total_poly_3,raw_total_poly_4,raw_LNCaP_TCT1_80S_S34,raw_LNCaP_TCT2_80S_S38,raw_LNCaP_TCT3_80S_S42,raw_LNCaP_TCT4_80S_S46
OR4F5,4.115947822,-2.376499875,1.137243162,-1.806624871,0.070820789,0.242136612,0.021833322,0.006935915,0.037266437,0.030547556,0.046403463,0.012827298,0.098831209,0.076649013,3,1,5,2,3,1,7,3
OR4F29,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F16,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMD11,695.3311286,-0.196734115,0.259957833,0,1,1,12.18299354,13.87183001,8.683079904,10.0195984,4.934234924,7.080668297,5.760447634,7.07725891,1674,2000,1165,656,319,552,408,277
NOC2L,7838.4409,1.232755497,0.235089241,3.87438999,0.000106892,0.001151695,209.4325001,181.0412534,237.543725,140.6256744,33.10113711,41.50913516,43.27395098,37.40471857,28777,26102,31871,9207,2140,3236,3065,1464
KLHL17,4003.84788,-0.539313418,0.251922785,-0.86290457,0.388189938,0.811706663,61.57724513,68.81121274,52.51586352,42.49165051,29.00216452,39.49524943,49.68386085,41.46711628,8461,9921,7046,2782,1875,3079,3519,1623
PLEKHN1,547.0455596,0.534561255,0.235656123,0.902302716,0.366896083,0.782566714,12.10293803,12.13785126,11.41843641,9.378099718,3.217306784,3.69426172,4.376810702,3.525854619,1663,1750,1532,614,208,288,310,138
PERM1,163.2061846,0.271095339,0.231001997,0,1,1,3.282276038,2.982443451,2.973861701,3.299136057,0.928069265,1.372520847,1.327161955,1.3285829,451,430,399,216,60,107,94,52
HES4,4417.377959,0.604075183,0.282844364,0.997534772,0.318505004,0.711820862,62.23224478,116.0586657,104.9348343,91.21500247,30.51801099,33.17139169,22.02524095,28.36013498,8551,16733,14079,5972,1973,2586,1560,1110
ISG15,2392.108018,1.12341798,0.349087538,2.29595674,0.021678355,0.096341382,55.41297062,68.40199376,54.81147606,49.24266041,14.29226668,17.13726965,7.059372101,9.632226025,7614,9862,7354,3224,924,1336,500,377
AGRN,6170.975141,0.99717103,0.317366617,2.127643233,0.033366675,0.134138656,133.3069849,174.4174546,131.63251,132.7749525,19.45851892,21.1650411,58.04215741,43.58773899,18317,25147,17661,8693,1258,1650,4111,1706
RNF223,618.7864617,-0.368238924,0.39645768,-0.116811531,0.907009406,1,10.36355006,12.14478717,7.460740759,7.163401902,6.790373453,8.106852108,3.317904887,3.960199029,1424,1751,1001,469,439,632,235,155
C1orf159,1991.472115,-0.092229483,0.198642303,0,1,1,30.29009505,32.75832656,39.2042921,33.69395436,11.5235267,15.27731149,23.47947161,19.51994876,4162,4723,5260,2206,745,1191,1663,764
TTLL10,12.71219263,-1.029171024,0.78779882,-0.897745607,0.369321189,0.786305759,0.196499896,0.159526045,0.1192526,0.106916446,0.077339105,0.128272976,0.338849861,0.025549671,27,23,16,7,5,10,24,1
TNFRSF18,329.1797205,-0.035178855,0.395401547,0,1,1,6.062385675,8.371649409,3.734097023,4.017003625,2.644997404,3.360751981,3.204954934,1.609629283,833,1207,501,263,171,262,227,63
TNFRSF4,10.25013643,-1.199773721,1.043936272,-0.840899631,0.400404165,0.827266237,0.145555478,0.15259013,0.081986162,0.045821334,0.015467821,0.205236762,0.26825614,0,20,22,11,3,1,16,19,0
SDF4,17972.47518,1.291249135,0.23881206,4.058928339,4.92984E-05,0.000593568,464.3947538,488.8155457,411.8015861,411.8726987,89.8989761,89.44474643,76.93303715,83.75182204,63810,70476,55251,26966,5812,6973,5449,3278
B3GALT6,6459.052268,-0.199443714,0.333034453,0,1,1,71.48229544,70.69778163,158.6134107,133.981581,33.45689699,34.55673984,89.9787568,80.91580854,9822,10193,21281,8772,2163,2694,6373,3167
UBE2J2,5500.250964,0.270407472,0.177192114,0,1,1,85.37556585,82.46802939,132.3554789,129.9493036,30.87377087,41.04735244,47.10013066,49.18311697,11731,11890,17758,8508,1996,3200,3336,1925
SCNN1D,563.7229374,-0.281688929,0.251184557,0,1,1,8.500439938,10.37612884,8.094270194,8.461673035,4.037101301,3.732743613,6.762878473,6.361868117,1168,1496,1086,554,261,291,479,249
ACAP3,7714.106374,0.407032179,0.215152992,0.395551478,0.692435938,1,137.9138158,146.5420122,173.7584908,162.8032001,36.79794634,42.63793735,78.10489292,68.83081409,18950,21128,23313,10659,2379,3324,5532,2694
PUSL1,4239.650909,0.111433357,0.205065593,0,1,1,74.53896048,76.08005167,85.39231456,73.14612304,33.9054638,34.10778442,30.7929811,34.84975145,10242,10969,11457,4789,2192,2659,2181,1364
CPTP,6340.003779,0.476409678,0.204792792,0.754331153,0.4506504,0.886729685,99.03594749,97.94899167,165.649314,166.7743824,33.30221878,39.649177,47.02953694,59.63293247,13608,14122,22225,10919,2153,3091,3331,2334
TAS1R3,114.1532206,0.388567657,0.325816732,0.204530817,0.837938712,1,1.826721254,2.073838586,2.727903214,2.581268489,0.479502453,0.577228394,1.341280699,0.996437175,251,299,366,169,31,45,95,39
DVL1,25706.1177,-0.358217541,0.198120534,-0.183168526,0.854665789,1,358.0810324,417.7293529,402.3731774,403.4110256,184.7940584,190.4084061,313.8879211,285.5431248,49202,60227,53986,26412,11947,14844,22232,11176
MXRA8,3116.81585,-0.486855334,0.222164186,-0.742366454,0.457865338,0.897886784,45.6243647,52.71295402,42.23032681,39.83401313,25.47550131,32.95332763,33.48966125,28.84557873,6269,7600,5666,2608,1647,2569,2372,1129
AURKAIP1,18342.25374,0.606028442,0.252177906,1.126586985,0.259917145,0.620257826,377.2943555,423.6040729,393.3174331,351.6023705,130.5329421,130.5562354,99.48067164,110.9366722,51842,61074,52771,23020,8439,10178,7046,4342
CCNL2,10062.08045,-0.981934251,0.376910428,-1.751095505,0.07992946,0.266159795,148.3719769,165.5880348,68.92800253,75.94122442,52.7607377,148.5272794,119.2892698,140.3698933,20387,23874,9248,4972,3411,11579,8449,5494
MRPL20,13119.49737,0.821003664,0.212726387,2.346091503,0.018971449,0.086530272,237.1462632,259.250631,340.7195835,355.4819101,71.94083583,93.33141762,61.52948723,86.58783554,32585,37378,45714,23274,4651,7276,4358,3389
ANKRD65,5.393044493,0.724478962,0.954204242,0.421870758,0.673119355,1,0.072777739,0.145654215,0.096892737,0.168011558,0.015467821,0.051309191,0.042356233,0.025549671,10,21,13,11,1,4,3,1
TMEM88B,2.211378625,-0.28729781,1.349371621,0,1,1,0.014555548,0.020807745,0.037266437,0.07636889,0.015467821,0.025654595,0.014118744,0.025549671,2,3,5,5,1,2,1,1
VWA1,5449.091056,1.088574773,0.210534323,3.641433222,0.000271124,0.002563176,113.3222177,116.6759622,165.6567673,129.231436,25.28988746,21.80640599,36.24281637,33.08682414,15571,16822,22226,8461,1635,1700,2567,1295
ATAD3C,82.87250765,0.402315114,0.55610462,0.14455377,0.8850632,1,1.644776906,3.141969496,0.812408334,0.70259379,0.417631169,0.910738132,0.381206093,0.689841121,226,453,109,46,27,71,27,27
ATAD3B,4233.333736,0.047677998,0.257157825,0,1,1,80.57223506,84.90947147,77.80486791,55.04669606,27.31617202,30.09284026,47.5942867,34.46650639,11071,12242,10439,3604,1766,2346,3371,1349
ATAD3A,5127.731004,0.578650096,0.208152405,1.233336703,0.21745017,0.551242855,112.3251627,110.1423302,119.1258937,87.06053484,27.14602599,31.02923299,41.8761953,37.96681133,15434,15880,15983,5700,1755,2419,2966,1486
TMEM240,26.47808123,0.596771587,0.53164915,0.516964041,0.605181261,1,0.523999722,0.409218985,0.70806231,0.610951122,0.092806926,0.076963786,0.225899907,0.357695396,72,59,95,40,6,6,16,14
SSU72,17813.55482,-1.192581833,0.161882482,-5.378307322,7.51894E-08,1.80134E-06,160.4676371,155.7737151,230.1724237,226.3726644,165.5366212,193.4356484,213.1648,261.4497849,22049,22459,30882,14821,10702,15080,15098,10233
MIB2,3554.357168,0.056670383,0.200629461,0,1,1,62.44330023,71.68961747,62.89083968,55.39799296,22.90784302,28.42529157,33.92734232,31.5282942,8580,10336,8438,3627,1481,2216,2403,1234
MMP23B,1.900816975,-0.525853932,1.660961162,-0.122775801,0.902284637,1,0.021833322,0.034679575,0.037266437,0.015273778,0,0,0.056474977,0.025549671,3,5,5,1,0,0,4,1
CDK11B,2050.454395,0.346182132,0.214836266,0.112895453,0.910113442,1,46.08286446,38.15446843,43.28124034,32.4873259,13.11671227,14.00740902,15.16353127,17.96141882,6332,5501,5807,2127,848,1092,1074,703
SLC35E2B,13895.15119,-0.966332493,0.241696129,-2.66617591,0.007671954,0.042204765,135.7450391,170.8940098,167.7064214,189.7919659,76.99881332,148.0526693,215.9885488,194.6629445,18652,24639,22501,12426,4978,11542,15298,7619
CDK11A,183.7002358,0.967400968,0.469629946,1.374428692,0.169308634,0.462055154,4.985275135,5.992630563,2.213626379,3.360231169,0.510438096,0.48743731,1.708368048,1.660728625,685,864,297,220,33,38,121,65
NADK,6923.361187,-0.335603549,0.297200958,-0.046014165,0.96329896,1,79.28406908,91.67892451,139.0708909,127.4596778,32.34321387,45.15208769,101.1749209,90.19033917,10894,13218,18659,8345,2091,3520,7166,3530
GNB1,55805.92986,0.142430312,0.270024603,0,1,1,884.8608642,817.3837113,1108.795764,1368.576334,474.3207333,526.2911948,302.7058757,415.4121033,121584,117848,148766,89603,30665,41029,21440,16259
CALML6,48.1026812,-1.16766704,0.487530573,-1.734740324,0.082786811,0.272955386,0.589499687,0.575680945,0.469557111,0.427665785,0.13921039,0.897910835,0.649462233,0.638741779,81,83,63,28,9,70,46,25
TMEM52,4150.995909,-0.307973716,0.184276715,0,1,1,55.39841507,54.19723983,77.67070874,76.78128222,33.51876828,32.65829979,37.16053474,50.40950119,7612,7814,10421,5027,2167,2546,2632,1973
CFAP74,16.06675246,-0.06067263,0.617303667,0,1,1,0.189222122,0.18033379,0.372664374,0.397118229,0.046403463,0.166754869,0.112949954,0.255496712,26,26,50,26,3,13,8,10
GABRD,77.15755932,2.578998499,0.420984253,5.361412896,8.25735E-08,1.96151E-06,1.921332315,2.066902671,2.399958566,2.947839162,0.247485137,0.089791083,0.127068698,0.281046383,264,298,322,193,16,7,9,11
PRKCZ,4501.244935,0.311885512,0.206594002,0,1,1,85.39739917,80.69243514,90.58725592,94.63632875,34.87993653,32.01693491,30.08704389,34.23655935,11734,11634,12154,6196,2255,2496,2131,1340
SKI,4617.832236,0.105932361,0.36885681,0,1,1,58.25858022,60.25922955,120.4972985,106.1374836,15.01925427,24.16662875,67.95351584,48.87652092,8005,8688,16167,6949,971,1884,4813,1913
MORN1,728.7673906,0.307901898,0.211428114,0,1,1,12.46682672,11.86041466,19.12513565,13.79222157,4.083504764,5.336155818,6.918184659,5.518728969,1713,1710,2566,903,264,416,490,216
RER1,12203.88497,0.999318931,0.218808577,3.095814819,0.001962729,0.013580459,262.9023051,279.482695,269.6823006,334.847036,66.79005141,76.6046215,54.08890904,69.21405916,36124,40295,36183,21923,4318,5972,3831,2709
PEX10,12578.75157,0.262672111,0.241455553,0,1,1,177.6067947,160.2543161,322.9882126,329.6997728,70.02282602,81.4661673,106.0035315,131.0187137,24404,23105,43335,21586,4527,6351,7508,5128
PLCH2,5453.373641,2.545644445,0.749555056,2.966715163,0.003009997,0.019455499,118.365715,139.1067113,223.6433439,184.5072387,2.660465225,3.335097386,34.28031092,16.93943198,16264,20056,30006,12080,172,260,2428,663
PANK4,2288.998149,0.545911518,0.292411442,0.765987205,0.443683915,0.879343584,55.11458189,59.80145916,38.5484028,32.93026546,10.13142281,13.73803577,19.13089839,20.61858462,7573,8622,5172,2156,655,1071,1355,807
HES5,6.506048707,-1.182112662,0.975414342,-0.881865818,0.377849374,0.798889662,0.050944417,0.04161549,0.096892737,0.106916446,0.030935642,0.038481893,0.211781163,0.025549671,7,6,13,7,2,3,15,1
TNFRSF14,265.6193844,0.161196226,0.351203884,0,1,1,3.493331481,2.802109661,6.409827225,7.697984133,1.299296971,1.41100274,3.19083619,2.708265142,480,404,860,504,84,110,226,106
MMEL1,813.977245,-0.035415365,0.34607082,0,1,1,15.26876968,17.36753117,9.152637014,13.73112646,8.074202603,7.837478857,5.110985401,5.3143316,2098,2504,1228,899,522,611,362,208
TTC34,433.542841,-4.279830257,0.868575728,-4.556772695,5.19456E-06,8.2032E-05,0.298388731,0.769886565,1.199979283,0.77896268,0.556841559,3.399233874,17.97316137,7.792649702,41,111,161,51,36,265,1273,305
ACTRT2,0.054412828,-1.271290583,3.533811541,-0.268651137,0.788198157,,0,0.006935915,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PRDM16,3767.202453,0.1842565,0.248530561,0,1,1,80.10645753,76.94010513,58.56047966,62.1184553,24.33088256,36.99392639,25.49845203,30.35300933,11007,11093,7857,4067,1573,2884,1806,1188
ARHGEF16,3509.155332,0.454271837,0.178356583,0.742017706,0.458076608,0.897929806,73.03973905,65.74553831,79.07192678,67.0518856,22.32006581,23.75615523,24.04422138,28.20683695,10036,9479,10609,4390,1443,1852,1703,1104
MEGF6,681.5009481,0.491351812,0.270614832,0.626069592,0.531269296,0.979447097,14.22804801,17.9848276,11.75383434,10.93602508,4.253650796,4.83589121,4.489760656,5.212132915,1955,2593,1577,716,275,377,318,204
TPRG1L,3070.046728,0.765163077,0.149508403,2.964615852,0.003030611,0.019570722,61.50446739,62.58276107,68.4137257,80.95102362,15.37501415,20.33126676,18.72145481,21.64057147,8451,9023,9179,5300,994,1585,1326,847
WRAP73,1795.17165,1.10198817,0.265625431,2.936691984,0.003317334,0.021101973,42.69142181,40.94270626,43.72843759,44.797991,10.17782627,11.51891328,6.748759728,8.482490823,5866,5903,5867,2933,658,898,478,332
TP73,268.2150214,-0.179612209,0.366212883,0,1,1,4.803330787,4.223972237,3.726643736,4.872335195,1.500378645,1.167284085,4.362691958,2.733814813,660,609,500,319,97,91,309,107
CCDC27,0.65540272,-2.971627321,3.507863189,-0.755359911,0.45003306,,0,0.006935915,0,0,0.030935642,0,0,0,0,1,0,0,2,0,0,0
SMIM1,772.3702524,-0.464700772,0.231187748,-0.617561608,0.536864359,0.985287412,9.068106304,11.14601541,12.0743257,13.68530513,7.842185286,7.003704511,6.099297495,8.380292139,1246,1607,1620,896,507,546,432,328
LRRC47,3952.516623,0.819196606,0.225514516,2.205039922,0.027451293,0.115144519,95.95017135,88.17628743,96.02070249,71.80203058,18.87074171,29.95173999,22.54763449,23.88894253,13184,12713,12883,4701,1220,2335,1597,935
CEP104,2074.838586,0.596999693,0.310792853,0.885064107,0.376122057,0.796797579,35.74114772,28.45805926,60.40144167,55.16888629,8.692915446,8.735389692,22.71705942,16.42843855,4911,4103,8104,3612,562,681,1609,643
DFFB,803.0984842,-0.070329469,0.204561954,0,1,1,12.26304905,11.75637593,16.72517709,14.84611226,3.959762196,6.95239532,8.005327962,9.376729314,1685,1695,2244,972,256,542,567,367
C1orf174,4104.957115,0.011524563,0.256462601,0,1,1,73.96401634,72.86872302,66.22245918,75.57465375,27.93488487,49.33378672,26.04908305,31.96263861,10163,10506,8885,4948,1806,3846,1845,1251
AJAP1,0.72647979,1.993544003,3.410595449,0.490124359,0.624045902,,0.043666644,0,0,0.061095112,0,0,0,0,6,0,0,4,0,0,0,0
NPHP4,1624.953034,0.381311969,0.289083963,0.205420852,0.83724333,1,31.04698354,33.02882724,34.76958605,29.99770007,7.687507076,6.913913427,18.52379239,15.27870335,4266,4762,4665,1964,497,539,1312,598
KCNAB2,3612.245607,0.474890593,0.148192836,1.032185512,0.301985221,0.687906947,65.4926875,61.59092523,83.53644598,88.06860419,19.79881098,26.75774287,26.88208896,27.82359189,8999,8880,11208,5766,1280,2086,1904,1089
CHD5,421.789175,1.273775726,0.296118753,3.214411854,0.00130712,0.009693958,12.00104919,10.6327577,8.079363619,10.85965619,1.113683118,1.654721395,3.09200498,2.6571658,1649,1533,1084,711,72,129,219,104
RPL22,54754.21393,-3.122749921,0.284522154,-9.843949876,7.27954E-23,8.96469E-21,175.2196849,99.37085425,269.9058992,270.8651798,679.5632512,612.6702171,956.7002258,1056.121207,24076,14327,36213,17734,43934,47763,67761,41336
RNF207,280.2177003,-0.752079225,0.238108693,-1.806532656,0.070835178,0.242136612,3.253164942,4.078318022,3.421058949,3.894813401,1.670524676,3.270960898,3.36026112,3.75580166,447,588,459,255,108,255,238,147
ICMT,7669.875512,0.156999528,0.287227335,0,1,1,88.99261949,88.86987893,196.8711353,213.4205006,44.62466381,47.96126587,73.23392617,80.43036479,12228,12813,26414,13973,2885,3739,5187,3148
HES3,0.049153662,-1.271290583,3.533811541,-0.268651137,0.788198157,,0,0,0.007453287,0,0,0,0,0,0,0,1,0,0,0,0,0
GPR153,4335.38231,-0.728596244,0.188656332,-2.155602965,0.031114681,0.127417254,44.71464296,51.57546396,65.61128961,70.47321189,30.98204562,39.30283996,55.48666471,58.35544892,6144,7436,8803,4614,2003,3064,3930,2284
ACOT7,5986.971789,-0.300238823,0.234547373,0,1,1,93.9560613,82.23914419,112.3284955,89.71817222,60.46371259,44.43375902,53.35473434,56.92466733,12910,11857,15071,5874,3909,3464,3779,2228
HES2,223.0188898,-0.526223124,0.301741525,-0.677053081,0.498372277,0.945493026,2.15422108,2.261108291,4.270733721,4.536312078,1.57771775,1.641894098,3.007292515,2.708265142,296,326,573,297,102,128,213,106
ESPN,593.2725881,-0.298806314,0.27727798,0,1,1,6.964829641,7.893071273,11.79110078,11.39423842,2.87701472,4.271490114,7.86414052,7.690451017,957,1138,1582,746,186,333,557,301
TNFRSF25,813.5022287,0.335516989,0.429657669,0.031627257,0.974769306,1,13.98788147,21.50827242,14.14633962,13.16599667,1.685992497,3.796880101,10.84319555,9.325629971,1922,3101,1898,862,109,296,768,365
PLEKHG5,1644.366517,0.591540602,0.30595369,0.881219991,0.378198761,0.799146961,31.89848309,37.75218536,37.72854118,30.97522187,5.073445313,8.31208887,18.12846755,14.15451782,4383,5443,5062,2028,328,648,1284,554
NOL9,2584.409814,-1.166680993,0.272398093,-3.101170388,0.001927573,0.013383384,23.63820969,26.11371999,32.4814268,30.57810364,15.52969236,21.35745057,43.75398828,43.76658669,3248,3765,4358,2002,1004,1665,3099,1713
TAS1R1,45.22458372,-0.909361884,0.413656222,-1.420101421,0.155578157,0.435873427,0.327499826,0.54100137,0.73787546,0.6262249,0.402163348,0.295027846,0.592987256,0.715390792,45,78,99,41,26,23,42,28
ZBTB48,1582.913948,0.04398633,0.226231729,0,1,1,30.37742834,30.927245,26.79456846,23.49107063,9.002271867,11.63435896,15.9400622,16.42843855,4174,4459,3595,1538,582,907,1129,643
KLHL21,4537.611359,-0.687833314,0.241159985,-1.517271691,0.129198103,0.381614172,53.79730481,61.72270761,72.69936599,56.37551475,24.96506322,47.07618233,67.60054724,52.68342192,7392,8899,9754,3691,1614,3670,4788,2062
PHF13,2610.263221,-0.365385324,0.19286074,-0.225329579,0.82172289,1,39.57653457,36.69099037,44.34706045,40.0631198,15.60703147,26.28313286,32.1342618,25.67741951,5438,5290,5950,2623,1009,2049,2276,1005
THAP3,3359.874583,-0.054556137,0.307645759,0,1,1,62.20313369,70.84343584,44.68991168,49.83833775,30.61081791,33.51772873,20.18980421,26.59720767,8547,10214,5996,3263,1979,2613,1430,1041
DNAJC11,3873.933917,1.144267545,0.291586019,2.820229358,0.004798934,0.028588701,88.81067514,67.15352906,131.0809668,92.68128516,10.19329409,15.66213042,31.38596836,26.46945932,12203,9682,17587,6068,659,1221,2223,1036
CAMTA1,3295.199741,-0.354835487,0.242413766,-0.135748857,0.892019823,1,43.38281033,33.78484198,61.52688807,69.03747675,23.51108804,25.34674013,29.35286919,47.6501367,5961,4871,8255,4520,1520,1976,2079,1865
VAMP3,5244.462574,-1.115975789,0.220853623,-3.595357337,0.000323947,0.002981207,44.38714313,42.91250612,64.17280513,86.81615439,44.14516136,55.37544391,74.37754445,68.29427099,6099,6187,8610,5684,2854,4317,5268,2673
PER3,1498.254362,0.291117927,0.30096657,0,1,1,19.0313788,18.42872616,39.39807757,42.84294741,6.140724968,9.877019182,13.96343802,16.70948493,2615,2657,5286,2805,397,770,989,654
UTS2,0.472491194,-0.911732364,3.496732263,-0.168672985,0.866053869,,0,0,0.022359862,0,0,0,0,0.025549671,0,0,3,0,0,0,0,1
TNFRSF9,6.910468528,-0.21317874,1.478672672,0,1,1,0.261999861,0.117910555,0.044719725,0,0,0.141100274,0.112949954,0,36,17,6,0,0,11,8,0
PARK7,30713.96955,0.770736513,0.299229721,1.499879143,0.133645712,0.391375082,737.078387,637.2579986,649.8521346,689.0154013,232.9608532,203.1843946,131.6572897,155.1120536,101278,91878,87190,45111,15061,15840,9325,6071
ERRFI1,7683.176655,-1.123563829,0.33812097,-2.370854832,0.017747,0.082071505,92.79889525,99.61361127,56.07108164,86.2510246,72.91530856,140.2536724,57.64683257,76.03582135,12751,14362,7523,5647,4714,10934,4083,2976
SLC45A1,2.322279037,-1.448923425,1.521713436,-0.740609436,0.458930285,0.899347051,0.007277774,0.01387183,0.037266437,0.030547556,0.061871284,0.012827298,0,0.025549671,1,2,5,2,4,1,0,1
RERE,4214.977864,-0.553555557,0.329685625,-0.702570705,0.482323325,0.927580432,48.1643078,60.85571824,65.64110276,66.83805271,18.65419222,26.0522415,71.7091018,59.22413774,6618,8774,8807,4376,1206,2031,5079,2318
ENO1,326366.698,0.560265021,0.418125383,0.570013054,0.568668844,1,8376.928837,8065.303915,5977.625991,4262.544881,2862.32029,2841.5158,1073.052797,1510.752055,1151029,1162832,802012,279076,185050,221521,76002,59130
CA6,0.194908657,-0.15747172,3.494995522,0,1,,0,0,0,0.030547556,0,0,0,0,0,0,0,2,0,0,0,0
SLC2A7,3.368850453,0.023862375,1.341796741,0,1,1,0.065499965,0.090166895,0.022359862,0.045821334,0.061871284,0.012827298,0,0.025549671,9,13,3,3,4,1,0,1
SLC2A5,10.5678023,-0.008562676,0.674620352,0,1,1,0.1673888,0.15259013,0.163972324,0.259654227,0.108274748,0.064136488,0.070593721,0.102198685,23,22,22,17,7,5,5,4
GPR157,2571.51373,-1.375606439,0.290435223,-3.627928913,0.000285704,0.002677568,16.22215807,18.29694378,30.74481082,38.260814,16.9527319,25.85983204,42.32799512,43.28114293,2229,2638,4125,2505,1096,2016,2998,1694
H6PD,3684.977599,0.295369901,0.286657218,0,1,1,52.74202759,51.58933579,80.63711715,107.7259565,16.25667995,19.60011079,39.13715893,39.29539423,7247,7438,10819,7053,1051,1528,2772,1538
SPSB1,15.59826555,4.952025367,1.122751183,4.123885454,3.72534E-05,0.000459241,0.5021664,0.61036052,0.55899656,0.427665785,0,0,0.014118744,0.025549671,69,88,75,28,0,0,1,1
SLC25A33,4173.818531,-0.569092136,0.297702319,-0.830238885,0.406403734,0.833163263,38.59403509,39.99942182,77.53654956,87.41183173,40.07712441,40.39316026,28.20925091,56.74581963,5303,5767,10403,5723,2591,3149,1998,2221
TMEM201,2173.893193,-0.128610797,0.24612798,0,1,1,31.19253902,29.01986837,48.43146199,39.32997846,13.39513305,13.27625306,27.07975138,23.50569746,4286,4184,6498,2575,866,1035,1918,920
PIK3CD,5430.969779,0.141249116,0.277211653,0,1,1,86.54000967,80.28321616,111.1434228,128.2539142,25.30535528,27.75827209,65.56744807,59.81178017,11891,11575,14912,8397,1636,2164,4644,2341
CLSTN1,11310.19276,0.867786919,0.282691262,1.930936315,0.053490929,0.194247063,287.5666809,321.7085456,197.6984502,197.7190568,52.31217088,51.10395379,85.3478087,81.35015295,39513,46383,26525,12945,3382,3984,6045,3184
CTNNBIP1,6388.38375,-0.749110699,0.213776845,-1.998264147,0.04568803,0.171268049,72.44296159,65.07969047,91.2580518,111.6054962,63.91303669,70.58861891,54.56894634,75.03938418,9954,9383,12244,7307,4132,5503,3865,2937
LZIC,4063.232054,-0.408163231,0.197336762,-0.436994785,0.66211513,1,55.63858161,47.31681215,63.53927569,82.58531787,35.65332758,39.94420485,35.24038553,42.41245412,7645,6822,8525,5407,2305,3114,2496,1660
NMNAT1,507.0661897,0.23590633,0.355845959,0,1,1,9.169995138,4.688678542,15.18979987,10.40144285,2.227366235,2.693732504,4.433285679,6.898411212,1260,676,2038,681,144,210,314,270
RBP7,117.2943863,-0.589346612,0.48837705,-0.547565692,0.583990152,1,1.681165775,1.872697051,1.453391057,1.496830248,1.763331603,1.449484633,0.592987256,0.510993423,231,270,195,98,114,113,42,20
UBE4B,5212.33088,-0.71186894,0.19041408,-2.047857202,0.040573993,0.155974341,60.19446809,56.97160583,81.21102028,82.9824361,32.55976337,53.34873088,66.56987891,69.2651585,8271,8214,10896,5433,2105,4159,4715,2711
KIF1B,3778.271293,0.295222506,0.437629225,0,1,1,50.98808408,47.18502977,101.7299207,101.5095289,8.445430308,15.29013879,55.72668336,41.23716924,7006,6803,13649,6646,546,1192,3947,1614
PGD,20263.17207,-1.361146853,0.256402916,-4.053069185,5.055E-05,0.000605522,216.1426076,164.0690694,270.211484,147.6210648,245.0566893,231.8277502,229.4295933,249.9013336,29699,23655,36254,9665,15843,18073,16250,9781
CORT,24.15626931,0.293956758,0.543823633,0,1,1,0.422110887,0.714399245,0.320491361,0.366570673,0.123742569,0.153927572,0.254137396,0.204397369,58,103,43,24,8,12,18,8
DFFA,6710.380767,-0.174742173,0.192218929,0,1,1,103.4171674,82.78014556,139.7416868,122.8622706,40.4328843,53.51548575,73.1774512,75.06493385,14210,11935,18749,8044,2614,4172,5183,2938
PEX14,2583.301836,-0.005809462,0.250192394,0,1,1,51.48297271,48.20460927,42.46137872,36.67234108,17.86533334,27.64282641,19.56857946,20.74633298,7074,6950,5697,2401,1155,2155,1386,812
CASZ1,3312.890113,0.122469235,0.31588784,0,1,1,56.15530356,69.08171343,56.23505397,59.70519837,15.28220722,15.09772932,43.83870075,35.46294356,7716,9960,7545,3909,988,1177,3105,1388
C1orf127,33.36156315,-1.799065997,0.659978776,-2.238159703,0.025210642,0.107971998,0.152833252,0.173397875,0.417384098,0.336023117,0.170146032,0.089791083,0.776530931,0.817589477,21,25,56,22,11,7,55,32
TARDBP,6664.91222,0.136961253,0.197431692,0,1,1,130.5123197,101.6458344,142.8795208,116.7527594,34.47777318,61.53254677,63.11078658,55.74938246,17933,14655,19170,7644,2229,4797,4470,2182
MASP2,11.88245879,-1.017348041,0.879128733,-0.791033122,0.428924664,0.860977031,0.225610991,0.11097464,0.1192526,0.091642668,0.046403463,0.089791083,0.381206093,0.025549671,31,16,16,6,3,7,27,1
SRM,26727.76265,-0.812337319,0.216519373,-2.264966948,0.023514708,0.102363716,277.8362971,259.1327204,467.2242317,382.6234137,273.8268365,259.6886407,260.2649306,331.7369303,38176,37361,62687,25051,17703,20245,18434,12984
EXOSC10,3482.64292,0.286587725,0.263310699,0,1,1,83.73078894,72.73694064,52.38915763,55.16888629,16.19480867,28.16874561,28.19513217,34.77310244,11505,10487,7029,3612,1047,2196,1997,1361
MTOR,1994.149631,0.531765871,0.345669944,0.607046633,0.543819965,0.992562772,35.13709248,30.35849997,53.11212652,50.0827182,6.156192789,8.145334001,24.25600254,18.47241224,4828,4377,7126,3279,398,635,1718,723
ANGPTL7,0.669263149,0.662307826,2.446525765,0.139127793,0.889349166,,0.014555548,0.020807745,0.014906575,0.015273778,0,0,0.014118744,0,2,3,2,1,0,0,1,0
