gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cpm_total_poly_1,cpm_total_poly_2,cpm_total_poly_3,cpm_total_poly_4,cpm_LNCaP_TCT1_80S_S34,cpm_LNCaP_TCT2_80S_S38,cpm_LNCaP_TCT3_80S_S42,cpm_LNCaP_TCT4_80S_S46,raw_total_poly_1,raw_total_poly_2,raw_total_poly_3,raw_total_poly_4,raw_LNCaP_TCT1_80S_S34,raw_LNCaP_TCT2_80S_S38,raw_LNCaP_TCT3_80S_S42,raw_LNCaP_TCT4_80S_S46
GCLC,1563.547372,0.537410588,0.216654406,0.994590863,0.319935293,0.713514151,30.12270625,35.49107707,25.96725355,38.260814,8.18247735,12.39116952,11.57737025,10.4498155,4139,5117,3484,2505,529,966,820,409
KLHL31,152.4703918,-2.279993721,0.366789474,-5.338391002,9.37751E-08,2.19053E-06,0.785999583,0.991835845,1.006193809,0.85533157,1.00540837,1.321211657,2.597848933,4.011298371,108,143,135,56,65,103,184,157
LRRC1,366.5393776,0.795836922,0.197853336,2.395253153,0.016608894,0.078149709,7.088551797,8.177443789,7.915391294,9.698849057,1.593185571,2.526977635,2.456661491,2.42721876,974,1179,1062,635,103,197,174,95
MLIP,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TINAG,0.049153662,-1.271290583,3.533811541,-0.268651137,0.788198157,,0,0,0.007453287,0,0,0,0,0,0,0,1,0,0,0,0,0
FAM83B,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCRTR2,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFRAL,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMGCLL1,0.198042188,-2.713963104,3.533811541,-0.676899427,0.498469767,,0,0,0,0,0,0,0.014118744,0,0,0,0,0,0,0,1,0
BMP5,3.853637048,4.414510835,2.355971153,1.737110718,,,0.007277774,0.47164222,0,0.015273778,0,0,0,0,1,68,0,1,0,0,0,0
COL21A1,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DST,670.064533,1.201413577,0.370148883,2.376031707,0.017499959,0.081217165,11.78271598,9.800447899,22.21824995,23.96455775,1.794267245,2.052367622,6.155772472,4.036848042,1619,1413,2981,1569,116,160,436,158
BEND6,1.384014778,-2.677096339,2.74862429,-0.856853464,0.391525874,,0,0,0.014906575,0.015273778,0,0,0.084712465,0,0,0,2,1,0,0,6,0
KIAA1586,344.2257955,-0.414205222,0.227058816,-0.40640187,0.684447346,1,5.327330509,3.731522272,5.917910252,5.956773436,2.335640983,2.834832778,3.430854841,4.828887848,732,538,794,390,151,221,243,189
ZNF451,1452.158235,-0.419548145,0.179806946,-0.542915903,0.587187706,1,20.19582263,23.36709765,20.57852671,22.98703595,9.559113426,14.6487739,16.10948713,15.91744513,2775,3369,2761,1505,618,1142,1141,623
BAG2,1850.895173,0.843351462,0.278305908,1.873561976,0.060990823,0.215734484,28.25231835,24.27570251,57.67353845,62.66831131,8.167009529,10.58252055,11.6903202,14.41001453,3882,3500,7738,4103,528,825,828,564
RAB23,264.6003501,0.339459111,0.358623979,0.048884117,0.961011647,1,3.107609464,2.524673061,8.064457044,7.988185916,1.407571718,1.962576539,2.400186514,2.095073035,427,364,1082,523,91,153,170,82
PRIM2,455.4339251,-0.542591067,0.285427286,-0.773096978,0.43946499,0.874135589,7.357829432,4.577703902,9.383688926,4.795966305,4.083504764,3.835361994,4.405048191,5.697576667,1011,660,1259,314,264,299,312,223
KHDRBS2,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FKBP1C,49.0822468,1.159499294,0.48145023,1.739683871,0.081914543,0.270715223,0.647721879,0.700527415,1.840962005,1.756484475,0.170146032,0.295027846,0.16942493,0.408794738,89,101,247,115,11,23,12,16
